,Document Number,Word,TF-TDF score
0,1,Dhabi,0.30768
0,2,Seamless,0.19433
0,3,G7,0.09038
0,4,WALKER,0.21136
0,5,workouts,0.12839
0,6,MADNESS,0.23766
0,7,COMEDY,0.17746
0,8,tiger,0.09499
0,9,Paris,0.09653
0,10,le,0.32434
0,11,Patch,0.20414
0,12,Patch,0.20414
0,13,Sreykeo,0.15109
0,14,Khama,0.17555
0,15,Graphic,0.06821
0,16,Stephens,0.11638
0,17,column,0.10895
0,18,TEST,0.50976
0,19,crash,0.1087
0,20,Flames,0.0677
0,21,Shiness,0.16805
0,22,ViSlim,0.12285
0,23,Postings,0.39081
0,24,Niagara,0.23989
0,25,WilmerHale,0.15161
0,26,Stephens,0.11876
0,27,Drummond,0.14936
0,28,yearoveryear,0.07801
0,29,inmates,0.10891
0,30,column,0.10802
0,31,Rover,0.0708
0,32,Der,0.16961
0,33,kesepakatan,0.20215
0,34,Animation,0.08873
0,35,Country,0.2571
0,36,Offering,0.15659
0,37,truck,0.19664
0,38,fedex,0.16749
0,39,Texted,0.20936
0,40,Thai,0.07475
0,41,Charcoal,0.15759
0,42,Pulte,0.18709
0,43,manager,0.24145
0,44,S8,0.13094
0,45,blah,0.06612
0,46,facebook,0.62427
0,47,Downton,0.48852
0,48,Banks,0.31182
0,49,ad,0.29476
0,50,Skechers,0.40152
